utility	mac_size	mac_sha256	mzc_size	mzc_sha256
FILETEST	193719	7ef9897e100df2e1251db4db5a5a25fd48f5573ab5dc4b68b94bb0aed9580862	51456	78e0b50e1508968d7dc3993745efa6582807829cdb61c8a3cf1cce08aad3b9b1
RANDTEST	169461	c2d8cd5346657cd97da833199faf8db639ebe24cad6b6d48a4d85ff7b5598eed	46208	27502c5d1d355ba4d465cdb869af6029d01143a484a6245ce5c6da2042c5d60c
DIRTEST	88521	6e313a3eec2a952f4115b4791ad27394240e5e933abc4d1f2c8c9fc980e6efcc	26880	f9453cda67e1b26d1f32849d56065ebeef69b62e2d00775f2d891e360faf0919
CONSTEST	99680	d793e6f73d0454227a8b3f2f0941da494222220eed39c8aae9b2d42d5fc069b1	32768	b19c935869bf725a9a92254fbc17ba54ee358a3851773e783efaa279fc130cd3
BDOSTEST	61380	06b549708ade5aa4f7eb5df31881abcde3aeb2339cc6a37462bca34e541e8348	20096	6934e85228eb45348cf99f543e4bf31b17413e959514e124a4a2154b6a39a5a7
ENTRYTST	52038	040a523b0994fb3b01f00efeefbd7483bb4950eaa679b9f034d81cb4f73e8a9f	18560	d54e77a3e10ebbbfce8de3b047425e8213751346327ae71cc196a7d05a31f3d7
CCPTEST	67617	97ee2c259659d801a17ac91de12c8a74e4f0d576310fb6238d5cc0c9225d04bc	24192	ce463ce6088058b95fb0565efe05352788a4734e932cd8dc9b0c80efb077c721
DISKTEST	59433	d8061f7a6d2d745fb42054a6340595d53d39f7dfb05ecb19e3fed2c309227693	19712	dd5924f5cad97549bc559476212a847488d4f89be0e16b5bc18a451ef34906e9
BIOSTEST	119583	57f10ec64039d75c67a8eceb108ef64996a11dbb7270de5ddc23ca56c21fc765	37888	5375429601ac23b13d12eb749cd634edea2c521b3e901fc0dd5745bd1191437a
ERRTEST	37276	c5df4178f7401eca5438049096997d1ddd70963982c2f6b474c6c2f04bce82f4	13952	940f0e0bcfce87b3d0277fb8e43012d7a4ad367c5452579607eecde472acf8a2
ECOTEST	21243	302f47756cb020a00788907c318b69912736b7fccda3f349074351b5f604020d	8448	684f894ad6968b4172c2c2b82160b182b9424f8c1911e1aa86a3a4e368b25d4f
CPUTEST	20465	9911554bc475a1c2cc6c32f8e0712023881b20876f30f86602070f87e0c450f5	7936	44d780f4dd326e21d2d69f8f37c7feb31073ff1443032c19d6672c12a5d285ab
SCRATCH	21700	f16db3a3755f9921e483b1d4e26e061c1a5b788be1f3fc20a3aa3905c59da134	7808	8328ef9e7e09c47162d3a4b8efae6c35e5b35001ecc01c765a2c4ea8790e6145
